product_id,product_name,category,brand,standard_price
P001,Product_1,Apparel,BrandB,1423.79
P002,Product_2,Apparel,BrandA,1252.54
P003,Product_3,Electronics,BrandB,1119.99
P004,Product_4,Furniture,BrandB,669.16
P005,Product_5,Furniture,BrandC,1036.81
P006,Product_6,Furniture,BrandB,166.62
P007,Product_7,Apparel,BrandA,1321.48
P008,Product_8,Apparel,BrandA,682.98
P009,Product_9,Appliances,BrandA,1443.59
P010,Product_10,Electronics,BrandA,213.12
P011,Product_11,Apparel,BrandA,824.9
P012,Product_12,Electronics,BrandA,348.97
P013,Product_13,Electronics,BrandC,1432.02
P014,Product_14,Electronics,BrandC,209.63
P015,Product_15,Furniture,BrandB,1292.75
P016,Product_16,Apparel,BrandC,1098.12
P017,Product_17,Apparel,BrandC,811.64
P018,Product_18,Appliances,BrandA,1378.14
P019,Product_19,Furniture,BrandA,330.37
P020,Product_20,Appliances,BrandB,1420.81
P021,Product_21,Appliances,BrandB,560.3
P022,Product_22,Appliances,BrandA,900.35
P023,Product_23,Appliances,BrandB,850.17
P024,Product_24,Appliances,BrandB,100.7
P025,Product_25,Furniture,BrandB,943.8
P026,Product_26,Electronics,BrandB,723.52
P027,Product_27,Appliances,BrandC,1392.67
P028,Product_28,Furniture,BrandA,940.15
P029,Product_29,Appliances,BrandC,1436.14
P030,Product_30,Electronics,BrandB,1471.33
P031,Product_31,Electronics,BrandC,645.13
P032,Product_32,Appliances,BrandA,865.04
P033,Product_33,Appliances,BrandA,1050.43
P034,Product_34,Furniture,BrandA,873.29
P035,Product_35,Furniture,BrandA,592.63
P036,Product_36,Furniture,BrandC,1328.43
P037,Product_37,Appliances,BrandC,938.45
P038,Product_38,Electronics,BrandA,246.73
P039,Product_39,Apparel,BrandC,416.28
P040,Product_40,Apparel,BrandA,1382.19
P041,Product_41,Apparel,BrandB,163.65
P042,Product_42,Appliances,BrandC,1132.47
P043,Product_43,Furniture,BrandB,586.13
P044,Product_44,Appliances,BrandA,432.57
P045,Product_45,Appliances,BrandB,1463.2
P046,Product_46,Electronics,BrandB,660.22
P047,Product_47,Electronics,BrandB,1208.74
P048,Product_48,Electronics,BrandC,686.81
P049,Product_49,Furniture,BrandA,29.4
P050,Product_50,Electronics,BrandB,28.72
P051,Product_51,Appliances,BrandB,923.56
P052,Product_52,Apparel,BrandC,1437.41
P053,Product_53,Appliances,BrandC,765.04
P054,Product_54,Appliances,BrandC,193.58
P055,Product_55,Electronics,BrandA,1145.96
P056,Product_56,Furniture,BrandA,520.09
P057,Product_57,Apparel,BrandC,620.0
P058,Product_58,Appliances,BrandB,1070.66
P059,Product_59,Furniture,BrandA,1108.2
P060,Product_60,Appliances,BrandB,1328.01
P061,Product_61,Apparel,BrandC,471.75
P062,Product_62,Electronics,BrandA,343.32
P063,Product_63,Apparel,BrandC,461.02
P064,Product_64,Electronics,BrandC,1406.19
P065,Product_65,Electronics,BrandB,1040.36
P066,Product_66,Electronics,BrandB,1458.32
P067,Product_67,Apparel,BrandC,807.14
P068,Product_68,Apparel,BrandC,445.93
P069,Product_69,Electronics,BrandB,1124.1
P070,Product_70,Electronics,BrandA,1272.0
P071,Product_71,Apparel,BrandC,274.67
P072,Product_72,Apparel,BrandB,1174.62
P073,Product_73,Furniture,BrandC,671.86
P074,Product_74,Furniture,BrandA,498.56
P075,Product_75,Appliances,BrandC,1077.35
P076,Product_76,Apparel,BrandB,370.22
P077,Product_77,Electronics,BrandA,1239.98
P078,Product_78,Apparel,BrandB,245.29
P079,Product_79,Apparel,BrandA,801.54
P080,Product_80,Electronics,BrandC,1266.54
P081,Product_81,Apparel,BrandB,1030.76
P082,Product_82,Appliances,BrandA,718.91
P083,Product_83,Electronics,BrandA,1297.94
P084,Product_84,Electronics,BrandC,416.49
P085,Product_85,Apparel,BrandB,810.51
P086,Product_86,Apparel,BrandB,1336.28
P087,Product_87,Furniture,BrandA,1160.69
P088,Product_88,Electronics,BrandC,524.13
P089,Product_89,Apparel,BrandB,841.59
P090,Product_90,Electronics,BrandB,1271.29
P091,Product_91,Electronics,BrandC,896.28
P092,Product_92,Furniture,BrandB,1278.81
P093,Product_93,Electronics,BrandB,1470.63
P094,Product_94,Furniture,BrandA,1243.69
P095,Product_95,Appliances,BrandC,249.92
P096,Product_96,Electronics,BrandC,374.01
P097,Product_97,Furniture,BrandC,1182.46
P098,Product_98,Appliances,BrandB,539.78
P099,Product_99,Apparel,BrandA,1496.59
P100,Product_100,Furniture,BrandB,1297.25
P101,Product_101,Furniture,BrandC,85.18
P102,Product_102,Appliances,BrandC,247.66
P103,Product_103,Furniture,BrandA,1181.2
P104,Product_104,Apparel,BrandA,361.73
P105,Product_105,Electronics,BrandB,24.45
P106,Product_106,Appliances,BrandA,952.42
P107,Product_107,Appliances,BrandC,732.41
P108,Product_108,Furniture,BrandA,1187.0
P109,Product_109,Appliances,BrandC,1324.6
P110,Product_110,Appliances,BrandA,391.92
P111,Product_111,Furniture,BrandB,208.97
P112,Product_112,Apparel,BrandC,671.75
P113,Product_113,Furniture,BrandA,750.79
P114,Product_114,Furniture,BrandC,350.75
P115,Product_115,Appliances,BrandB,103.7
P116,Product_116,Appliances,BrandA,744.22
P117,Product_117,Electronics,BrandA,297.76
P118,Product_118,Furniture,BrandA,652.69
P119,Product_119,Appliances,BrandB,279.31
P120,Product_120,Appliances,BrandB,682.8
P121,Product_121,Appliances,BrandB,969.97
P122,Product_122,Apparel,BrandB,141.4
P123,Product_123,Electronics,BrandA,35.92
P124,Product_124,Electronics,BrandA,1451.13
P125,Product_125,Apparel,BrandA,823.69
P126,Product_126,Apparel,BrandB,639.42
P127,Product_127,Furniture,BrandC,107.97
P128,Product_128,Apparel,BrandB,868.97
P129,Product_129,Furniture,BrandB,1496.77
P130,Product_130,Furniture,BrandA,1288.36
P131,Product_131,Apparel,BrandB,961.31
P132,Product_132,Appliances,BrandC,869.61
P133,Product_133,Furniture,BrandB,435.06
P134,Product_134,Apparel,BrandA,144.67
P135,Product_135,Apparel,BrandC,501.46
P136,Product_136,Furniture,BrandA,1062.49
P137,Product_137,Electronics,BrandC,1348.16
P138,Product_138,Furniture,BrandA,382.0
P139,Product_139,Apparel,BrandC,824.27
P140,Product_140,Electronics,BrandB,674.16
P141,Product_141,Appliances,BrandC,1207.34
P142,Product_142,Furniture,BrandA,1141.55
P143,Product_143,Apparel,BrandC,696.8
P144,Product_144,Electronics,BrandB,443.28
P145,Product_145,Electronics,BrandA,228.39
P146,Product_146,Electronics,BrandB,1239.01
P147,Product_147,Furniture,BrandB,448.57
P148,Product_148,Furniture,BrandA,1423.26
P149,Product_149,Appliances,BrandB,1430.34
P150,Product_150,Apparel,BrandA,460.25
P151,Product_151,Appliances,BrandB,1292.23
P152,Product_152,Apparel,BrandC,746.19
P153,Product_153,Apparel,BrandA,530.69
P154,Product_154,Apparel,BrandB,1163.12
P155,Product_155,Furniture,BrandA,968.54
P156,Product_156,Apparel,BrandA,290.19
P157,Product_157,Apparel,BrandA,1181.28
P158,Product_158,Electronics,BrandA,767.38
P159,Product_159,Apparel,BrandC,739.28
P160,Product_160,Furniture,BrandA,1325.0
P161,Product_161,Electronics,BrandA,198.74
P162,Product_162,Electronics,BrandA,565.4
P163,Product_163,Appliances,BrandA,1376.35
P164,Product_164,Furniture,BrandB,21.34
P165,Product_165,Furniture,BrandA,580.36
P166,Product_166,Furniture,BrandB,427.19
P167,Product_167,Furniture,BrandA,399.74
P168,Product_168,Electronics,BrandC,47.38
P169,Product_169,Furniture,BrandA,1066.08
P170,Product_170,Electronics,BrandA,1154.18
P171,Product_171,Electronics,BrandB,1201.11
P172,Product_172,Furniture,BrandC,298.87
P173,Product_173,Apparel,BrandB,60.34
P174,Product_174,Electronics,BrandB,515.95
P175,Product_175,Apparel,BrandB,566.42
P176,Product_176,Furniture,BrandA,1090.56
P177,Product_177,Apparel,BrandB,1122.98
P178,Product_178,Electronics,BrandA,1160.57
P179,Product_179,Appliances,BrandA,185.12
P180,Product_180,Furniture,BrandB,1298.79
P181,Product_181,Furniture,BrandA,1292.84
P182,Product_182,Appliances,BrandA,701.87
P183,Product_183,Electronics,BrandB,74.58
P184,Product_184,Furniture,BrandC,788.43
P185,Product_185,Electronics,BrandB,55.8
P186,Product_186,Furniture,BrandA,155.06
P187,Product_187,Apparel,BrandC,148.29
P188,Product_188,Appliances,BrandA,258.03
P189,Product_189,Apparel,BrandA,337.91
P190,Product_190,Electronics,BrandA,380.55
P191,Product_191,Appliances,BrandB,1219.84
P192,Product_192,Electronics,BrandC,1463.84
P193,Product_193,Furniture,BrandB,783.78
P194,Product_194,Appliances,BrandA,15.25
P195,Product_195,Apparel,BrandC,1418.59
P196,Product_196,Apparel,BrandA,529.37
P197,Product_197,Furniture,BrandC,1084.29
P198,Product_198,Furniture,BrandC,384.9
P199,Product_199,Apparel,BrandB,743.6
P200,Product_200,Furniture,BrandA,153.11
P201,Product_201,Furniture,BrandA,1260.58
P202,Product_202,Apparel,BrandC,1446.59
P203,Product_203,Appliances,BrandB,695.6
P204,Product_204,Appliances,BrandA,92.05
P205,Product_205,Apparel,BrandA,962.01
P206,Product_206,Apparel,BrandA,903.17
P207,Product_207,Electronics,BrandA,1029.69
P208,Product_208,Appliances,BrandA,1045.96
P209,Product_209,Furniture,BrandB,1138.19
P210,Product_210,Furniture,BrandA,278.88
P211,Product_211,Appliances,BrandC,694.92
P212,Product_212,Furniture,BrandB,356.64
P213,Product_213,Furniture,BrandB,819.23
P214,Product_214,Appliances,BrandC,137.63
P215,Product_215,Appliances,BrandC,1390.41
P216,Product_216,Electronics,BrandB,231.36
P217,Product_217,Furniture,BrandB,614.39
P218,Product_218,Appliances,BrandA,32.26
P219,Product_219,Appliances,BrandB,1243.92
P220,Product_220,Apparel,BrandC,198.7
P221,Product_221,Electronics,BrandC,944.15
P222,Product_222,Furniture,BrandC,667.28
P223,Product_223,Apparel,BrandA,984.01
P224,Product_224,Furniture,BrandB,1089.59
P225,Product_225,Furniture,BrandC,354.23
P226,Product_226,Electronics,BrandC,1308.2
P227,Product_227,Appliances,BrandC,307.07
P228,Product_228,Apparel,BrandC,806.18
P229,Product_229,Electronics,BrandB,394.01
P230,Product_230,Appliances,BrandC,1318.82
P231,Product_231,Appliances,BrandC,727.82
P232,Product_232,Appliances,BrandA,36.46
