transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,currency,total_amount
TXN_000001,2024-03-04 23:33:00,S099,P079,4,767.96,48.03,GBP,3033.81
TXN_000002,2024-03-09 02:36:00,S067,P383,9,635.72,39.65,USD,5691.830000000001
TXN_000003,2024-03-06 16:51:00,S074,P285,8,1077.69,26.36,GBP,8605.16
TXN_000004,2024-03-07 19:40:00,S095,P744,5,338.11,0.96,USD,1699.5900000000001
TXN_000005,2024-03-13 21:58:00,S050,P764,9,347.37,35.81,USD,3100.52
TXN_000006,2024-03-13 05:53:00,S031,P100,9,591.98,21.58,EUR,5316.24
TXN_000007,2024-03-02 15:43:00,S008,P220,5,938.2,5.21,EUR,4695.79
TXN_000008,2024-03-11 15:44:00,S025,P734,7,788.03,37.88,USD,5488.33
TXN_000009,2024-03-02 15:49:00,S041,P725,9,699.07,5.25,GBP,6296.38
TXN_000010,2024-03-22 14:32:00,S067,P975,1,693.74,30.43,USD,673.3100000000001
TXN_000011,2024-03-18 20:32:00,S067,P131,7,964.57,48.75,USD,6713.240000000001
TXN_000012,2024-03-02 18:11:00,S097,P181,6,1112.82,9.83,USD,6677.09
TXN_000013,2024-03-26 16:28:00,S040,P436,7,1390.18,21.38,EUR,9719.880000000001
TXN_000014,2024-03-24 19:42:00,S094,P124,4,753.49,0.04,EUR,3023.92
TXN_000015,2024-03-14 04:56:00,S061,P607,1,603.71,47.54,USD,566.1700000000001
TXN_000016,2024-03-21 21:52:00,S064,P806,4,30.64,39.71,USD,92.85
TXN_000017,2024-03-17 23:56:00,S048,P229,1,883.73,38.86,USD,854.87
TXN_000018,2024-03-28 19:59:00,S078,P187,1,353.48,47.34,EUR,316.14
TXN_000019,2024-03-17 20:25:00,S004,P410,3,899.67,14.69,EUR,2694.3199999999997
TXN_000020,2024-03-19 19:58:00,S050,P461,7,785.03,9.91,EUR,5495.3
TXN_000021,2024-03-09 11:40:00,S100,P134,6,331.85,15.09,EUR,1986.0100000000002
TXN_000022,2024-03-05 12:00:00,S001,P736,1,873.63,44.88,EUR,838.75
TXN_000023,2024-03-09 22:40:00,S041,P529,6,1454.63,0.89,GBP,8736.890000000001
TXN_000024,2024-03-12 14:56:00,S083,P874,5,355.67,34.41,EUR,1753.94
TXN_000025,2024-03-16 02:39:00,S022,P826,5,1064.65,27.47,GBP,5305.78
TXN_000026,2024-03-02 18:13:00,S058,P817,5,183.26,41.27,EUR,885.03
TXN_000027,2024-03-18 05:22:00,S024,P417,5,1323.89,28.07,USD,6601.380000000001
TXN_000028,2024-03-25 04:42:00,S048,P962,7,1472.32,9.18,EUR,10307.06
TXN_000029,2024-03-20 22:49:00,S030,P040,5,631.22,45.77,USD,3120.3300000000004
TXN_000030,2024-03-10 09:22:00,S088,P583,8,298.31,15.93,GBP,2380.55
TXN_000031,2024-03-03 08:11:00,S099,P121,1,1411.42,46.59,EUR,1374.8300000000002
TXN_000032,2024-03-18 14:01:00,S030,P755,4,66.0,36.48,USD,237.52
TXN_000033,2024-03-13 10:34:00,S090,P165,7,1447.09,4.83,GBP,10134.8
TXN_000034,2024-03-11 22:07:00,S046,P024,4,130.88,28.94,EUR,504.58
