store_id,store_name,region,country
S001,Store_Location_1,LATAM,USA
S002,Store_Location_2,APAC,UK
S003,Store_Location_3,APAC,USA
S004,Store_Location_4,AMER,Brazil
S005,Store_Location_5,APAC,Brazil
S006,Store_Location_6,AMER,USA
S007,Store_Location_7,LATAM,Germany
S008,Store_Location_8,AMER,Brazil
S009,Store_Location_9,AMER,Japan
S010,Store_Location_10,EMEA,Japan
S011,Store_Location_11,APAC,USA
S012,Store_Location_12,LATAM,UK
S013,Store_Location_13,APAC,Brazil
S014,Store_Location_14,EMEA,Germany
S015,Store_Location_15,EMEA,USA
S016,Store_Location_16,LATAM,Australia
S017,Store_Location_17,EMEA,Germany
S018,Store_Location_18,EMEA,USA
S019,Store_Location_19,EMEA,Australia
S020,Store_Location_20,AMER,UK
S021,Store_Location_21,APAC,Japan
S022,Store_Location_22,APAC,USA
S023,Store_Location_23,EMEA,UK
S024,Store_Location_24,EMEA,Germany
S025,Store_Location_25,APAC,Australia
S026,Store_Location_26,APAC,Brazil
S027,Store_Location_27,EMEA,Australia
S028,Store_Location_28,APAC,Australia
S029,Store_Location_29,EMEA,Germany
S030,Store_Location_30,LATAM,Germany
S031,Store_Location_31,APAC,Germany
S032,Store_Location_32,EMEA,UK
S033,Store_Location_33,LATAM,Germany
S034,Store_Location_34,APAC,Brazil
S035,Store_Location_35,EMEA,Australia
S036,Store_Location_36,LATAM,USA
S037,Store_Location_37,AMER,Germany
S038,Store_Location_38,APAC,Brazil
S039,Store_Location_39,AMER,UK
S040,Store_Location_40,LATAM,UK
S041,Store_Location_41,LATAM,UK
S042,Store_Location_42,LATAM,Japan
S043,Store_Location_43,APAC,UK
S044,Store_Location_44,EMEA,Brazil
S045,Store_Location_45,AMER,USA
S046,Store_Location_46,AMER,Japan
S047,Store_Location_47,LATAM,Brazil
S048,Store_Location_48,AMER,Australia
S049,Store_Location_49,APAC,USA
S050,Store_Location_50,EMEA,Australia
S051,Store_Location_51,APAC,UK
S052,Store_Location_52,AMER,Japan
S053,Store_Location_53,AMER,Brazil
S054,Store_Location_54,LATAM,Brazil
S055,Store_Location_55,APAC,UK
S056,Store_Location_56,EMEA,Germany
S057,Store_Location_57,APAC,UK
S058,Store_Location_58,EMEA,USA
S059,Store_Location_59,LATAM,Brazil
S060,Store_Location_60,APAC,UK
S061,Store_Location_61,EMEA,Japan
S062,Store_Location_62,LATAM,Germany
S063,Store_Location_63,APAC,Australia
S064,Store_Location_64,AMER,Germany
S065,Store_Location_65,APAC,USA
S066,Store_Location_66,APAC,Japan
S067,Store_Location_67,LATAM,Brazil
S068,Store_Location_68,APAC,USA
S069,Store_Location_69,EMEA,Japan
S070,Store_Location_70,AMER,UK
S071,Store_Location_71,AMER,Germany
S072,Store_Location_72,EMEA,Japan
S073,Store_Location_73,LATAM,UK
S074,Store_Location_74,LATAM,Germany
S075,Store_Location_75,AMER,Japan
S076,Store_Location_76,EMEA,Australia
S077,Store_Location_77,AMER,UK
S078,Store_Location_78,APAC,Japan
S079,Store_Location_79,LATAM,Australia
S080,Store_Location_80,LATAM,Japan
S081,Store_Location_81,APAC,UK
S082,Store_Location_82,EMEA,Germany
S083,Store_Location_83,APAC,Brazil
S084,Store_Location_84,LATAM,Germany
S085,Store_Location_85,LATAM,Japan
S086,Store_Location_86,AMER,Brazil
S087,Store_Location_87,APAC,Germany
S088,Store_Location_88,LATAM,Brazil
S089,Store_Location_89,EMEA,Japan
S090,Store_Location_90,APAC,Germany
S091,Store_Location_91,AMER,Japan
S092,Store_Location_92,LATAM,UK
S093,Store_Location_93,EMEA,Japan
S094,Store_Location_94,AMER,Japan
S095,Store_Location_95,AMER,Germany
S096,Store_Location_96,EMEA,Japan
S097,Store_Location_97,LATAM,Australia
S098,Store_Location_98,LATAM,Australia
S099,Store_Location_99,LATAM,Germany
S100,Store_Location_100,APAC,Germany
