State Code,District Code,India / State / Union Territory / District,Name,Year,Age Group,Gender,Ethnic Group,Total / Rural / Urban,Value
00,000,India,India,2011,0-14,Female,Buddhist,Rural,3831386
00,000,India,India,2011,0-14,Female,Christian,Rural,3174321
00,000,India,India,2011,0-14,Female,Hindu,Rural,2992231
00,000,India,India,2011,0-14,Female,Jain,Rural,3699111
00,000,India,India,2011,0-14,Female,Muslim,Rural,3701487
00,000,India,India,2011,0-14,Female,Parsi,Rural,3367338
00,000,India,India,2011,0-14,Female,Sikh,Rural,3422932
00,000,India,India,2011,0-14,Male,Buddhist,Rural,3501665
00,000,India,India,2011,0-14,Male,Christian,Rural,3816632
00,000,India,India,2011,0-14,Male,Hindu,Rural,3739079
00,000,India,India,2011,0-14,Male,Jain,Rural,3412106
00,000,India,India,2011,0-14,Male,Muslim,Rural,3845660
00,000,India,India,2011,0-14,Male,Parsi,Rural,3613987
00,000,India,India,2011,0-14,Male,Sikh,Rural,3490694
00,000,India,India,2011,0-14,Other,Buddhist,Rural,3800084
00,000,India,India,2011,0-14,Other,Christian,Rural,3700775
00,000,India,India,2011,0-14,Other,Hindu,Rural,3832201
00,000,India,India,2011,0-14,Other,Jain,Rural,4191226
00,000,India,India,2011,0-14,Other,Muslim,Rural,3577071
00,000,India,India,2011,0-14,Other,Parsi,Rural,3886550
00,000,India,India,2011,0-14,Other,Sikh,Rural,3519906
00,000,India,India,2011,15-24,Female,Buddhist,Rural,3300830
00,000,India,India,2011,15-24,Female,Christian,Rural,3345382
00,000,India,India,2011,15-24,Female,Hindu,Rural,3461620
00,000,India,India,2011,15-24,Female,Jain,Rural,4035172
00,000,India,India,2011,15-24,Female,Muslim,Rural,3439407
00,000,India,India,2011,15-24,Female,Parsi,Rural,3662674
00,000,India,India,2011,15-24,Female,Sikh,Rural,3610503
00,000,India,India,2011,15-24,Male,Buddhist,Rural,3074345
00,000,India,India,2011,15-24,Male,Christian,Rural,3488028
00,000,India,India,2011,15-24,Male,Hindu,Rural,3948178
00,000,India,India,2011,15-24,Male,Jain,Rural,3519927
00,000,India,India,2011,15-24,Male,Muslim,Rural,3461092
00,000,India,India,2011,15-24,Male,Parsi,Rural,3820590
00,000,India,India,2011,15-24,Male,Sikh,Rural,3959508
00,000,India,India,2011,15-24,Other,Buddhist,Rural,3719605
00,000,India,India,2011,15-24,Other,Christian,Rural,3385949
00,000,India,India,2011,15-24,Other,Hindu,Rural,3999424
00,000,India,India,2011,15-24,Other,Jain,Rural,3728928
00,000,India,India,2011,15-24,Other,Muslim,Rural,3610589
00,000,India,India,2011,15-24,Other,Parsi,Rural,4098665
00,000,India,India,2011,15-24,Other,Sikh,Rural,3256090
00,000,India,India,2011,25-44,Female,Buddhist,Rural,4024977
00,000,India,India,2011,25-44,Female,Christian,Rural,3515160
00,000,India,India,2011,25-44,Female,Hindu,Rural,3729069
00,000,India,India,2011,25-44,Female,Jain,Rural,3526498
00,000,India,India,2011,25-44,Female,Muslim,Rural,3669507
00,000,India,India,2011,25-44,Female,Parsi,Rural,3449826
00,000,India,India,2011,25-44,Female,Sikh,Rural,4111339
00,000,India,India,2011,25-44,Male,Buddhist,Rural,3780867
00,000,India,India,2011,25-44,Male,Christian,Rural,4447853
00,000,India,India,2011,25-44,Male,Hindu,Rural,3550439
00,000,India,India,2011,25-44,Male,Jain,Rural,3333387
00,000,India,India,2011,25-44,Male,Muslim,Rural,3774434
00,000,India,India,2011,25-44,Male,Parsi,Rural,3459306
00,000,India,India,2011,25-44,Male,Sikh,Rural,3591204
00,000,India,India,2011,25-44,Other,Buddhist,Rural,3387447
00,000,India,India,2011,25-44,Other,Christian,Rural,3575497
00,000,India,India,2011,25-44,Other,Hindu,Rural,3537027
00,000,India,India,2011,25-44,Other,Jain,Rural,3617792
00,000,India,India,2011,25-44,Other,Muslim,Rural,4389701
00,000,India,India,2011,25-44,Other,Parsi,Rural,3962164
00,000,India,India,2011,25-44,Other,Sikh,Rural,3223913
00,000,India,India,2011,45-59,Female,Buddhist,Rural,3653528
00,000,India,India,2011,45-59,Female,Christian,Rural,4196721
00,000,India,India,2011,45-59,Female,Hindu,Rural,3508666
00,000,India,India,2011,45-59,Female,Jain,Rural,3737045
00,000,India,India,2011,45-59,Female,Muslim,Rural,3726185
00,000,India,India,2011,45-59,Female,Parsi,Rural,3399866
00,000,India,India,2011,45-59,Female,Sikh,Rural,3357326
00,000,India,India,2011,45-59,Male,Buddhist,Rural,3792472
00,000,India,India,2011,45-59,Male,Christian,Rural,3807984
00,000,India,India,2011,45-59,Male,Hindu,Rural,3556521
00,000,India,India,2011,45-59,Male,Jain,Rural,3444954
00,000,India,India,2011,45-59,Male,Muslim,Rural,3251980
00,000,India,India,2011,45-59,Male,Parsi,Rural,3928713
00,000,India,India,2011,45-59,Male,Sikh,Rural,3366361
00,000,India,India,2011,45-59,Other,Buddhist,Rural,3415032
00,000,India,India,2011,45-59,Other,Christian,Rural,3417963
00,000,India,India,2011,45-59,Other,Hindu,Rural,3757782
00,000,India,India,2011,45-59,Other,Jain,Rural,4209591
00,000,India,India,2011,45-59,Other,Muslim,Rural,3407488
00,000,India,India,2011,45-59,Other,Parsi,Rural,4182598
00,000,India,India,2011,45-59,Other,Sikh,Rural,3702902
00,000,India,India,2011,60+,Female,Buddhist,Rural,3774157
00,000,India,India,2011,60+,Female,Christian,Rural,3544295
00,000,India,India,2011,60+,Female,Hindu,Rural,3580844
00,000,India,India,2011,60+,Female,Jain,Rural,4107515
00,000,India,India,2011,60+,Female,Muslim,Rural,3680878
00,000,India,India,2011,60+,Female,Parsi,Rural,3695802
00,000,India,India,2011,60+,Female,Sikh,Rural,3377292
00,000,India,India,2011,60+,Male,Buddhist,Rural,3832035
00,000,India,India,2011,60+,Male,Christian,Rural,3720480
00,000,India,India,2011,60+,Male,Hindu,Rural,3960883
00,000,India,India,2011,60+,Male,Jain,Rural,3305896
00,000,India,India,2011,60+,Male,Muslim,Rural,3468902
00,000,India,India,2011,60+,Male,Parsi,Rural,3188587
00,000,India,India,2011,60+,Male,Sikh,Rural,3858482
00,000,India,India,2011,60+,Other,Buddhist,Rural,3946453
00,000,India,India,2011,60+,Other,Christian,Rural,3656562
00,000,India,India,2011,60+,Other,Hindu,Rural,3762247
00,000,India,India,2011,60+,Other,Jain,Rural,3443981
00,000,India,India,2011,60+,Other,Muslim,Rural,3213926
00,000,India,India,2011,60+,Other,Parsi,Rural,3497376
00,000,India,India,2011,60+,Other,Sikh,Rural,3609800
00,000,India,India,2011,0-14,Female,Buddhist,Urban,2074793
00,000,India,India,2011,0-14,Female,Christian,Urban,2258991
00,000,India,India,2011,0-14,Female,Hindu,Urban,2158656
00,000,India,India,2011,0-14,Female,Jain,Urban,1907836
00,000,India,India,2011,0-14,Female,Muslim,Urban,2415979
00,000,India,India,2011,0-14,Female,Parsi,Urban,2238885
